dvcat,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,caseid
10-24,36.061999999918,alive,airbag,belted,0,m,53,2001,2000.0,deploy,driver,1,9:187:2
40-54,630.9919999986889,alive,airbag,none,1,m,41,1998,1992.0,deploy,driver,1,12:227:1
10-24,1600.69299998879,alive,none,belted,1,f,17,2002,1989.0,unavail,driver,0,12:29:2
25-39,45.2489999998361,dead,none,belted,1,f,74,1997,1994.0,unavail,driver,0,75:97:2
25-39,53.9559999997728,dead,airbag,belted,0,m,65,1999,1996.0,deploy,driver,1,8:182:2
10-24,6.978999999992079,alive,none,belted,0,m,32,1997,1986.0,unavail,driver,0,49:120:1
10-24,891.941999994218,alive,airbag,belted,1,f,32,1999,1991.0,deploy,driver,1,2:24:1
10-24,683.100999996066,alive,airbag,belted,1,f,21,1998,1996.0,nodeploy,driver,0,48:83:2
10-24,144.458999998868,alive,airbag,none,0,m,73,2002,2000.0,nodeploy,driver,0,73:18:2
25-39,2728.67499998212,alive,none,none,1,m,25,2001,1984.0,unavail,driver,0,48:101:1
10-24,104.891999999993,alive,none,none,0,m,17,2000,1979.0,unavail,driver,0,4:153:1
25-39,193.793999999762,alive,none,belted,1,f,23,2002,1989.0,unavail,pass,0,48:87:2
25-39,134.72299999930001,alive,airbag,belted,1,f,39,1999,1993.0,deploy,driver,1,79:27:2
1-9km/h,933.906999997795,alive,airbag,belted,0,m,27,1999,1999.0,nodeploy,driver,0,11:204:1
40-54,237.430999999866,alive,airbag,belted,1,f,18,1998,1995.0,deploy,driver,1,78:146:1
10-24,0.0,alive,airbag,belted,1,f,45,1998,1998.0,deploy,pass,1,9:801:1
10-24,116.216999999247,alive,none,belted,1,m,82,2000,1969.0,unavail,driver,0,81:71:2
40-54,36.031999999657295,alive,airbag,none,1,m,36,2002,2001.0,deploy,driver,1,43:173:1
10-24,586.789999999106,alive,airbag,belted,0,f,41,2002,1996.0,nodeploy,driver,0,12:58:1
40-54,91.42699999921021,alive,none,none,1,m,33,1999,1987.0,unavail,driver,0,13:88:1
10-24,476.144999999553,alive,none,belted,0,f,20,1998,1990.0,unavail,pass,0,3:27:2
10-24,34.0529999998398,alive,airbag,none,0,m,25,1997,1994.0,deploy,driver,1,12:156:1
10-24,2786.6229999959496,alive,none,none,1,m,30,1999,1985.0,unavail,driver,0,74:12:2
40-54,50.729999999981395,dead,airbag,none,0,f,32,1999,1998.0,deploy,driver,1,75:164:1
1-9km/h,8032.652999997141,alive,airbag,belted,0,f,62,2002,1997.0,nodeploy,driver,0,48:21:1
25-39,194.17599999904598,alive,none,belted,0,m,31,1999,1989.0,unavail,driver,0,48:180:2
25-39,49.405999999959,dead,none,none,1,f,36,1999,1994.0,unavail,driver,0,45:10:1
1-9km/h,563.582999996841,alive,none,belted,1,m,37,2000,1989.0,unavail,driver,0,45:61:1
10-24,45.230999999679604,alive,none,none,1,m,22,2000,1989.0,unavail,pass,0,45:123:1
10-24,84.1569999996573,alive,none,belted,1,f,22,1999,1987.0,unavail,pass,0,13:123:2
25-39,55.14199999999251,alive,none,belted,1,m,17,2001,1992.0,unavail,driver,0,2:1:2
25-39,45.2479999996722,alive,airbag,none,1,f,38,2001,1999.0,deploy,driver,1,45:6:2
10-24,264.85699999705,alive,airbag,belted,0,m,44,1998,1997.0,nodeploy,driver,0,4:135:1
40-54,73.5179999992251,alive,airbag,belted,1,m,46,1999,1998.0,nodeploy,pass,0,12:50:1
25-39,33.639999999664695,alive,airbag,belted,1,m,31,1999,1991.0,deploy,driver,1,3:108:2
10-24,180.42299999855499,alive,airbag,belted,0,f,51,1999,1997.0,nodeploy,driver,0,13:154:1
25-39,4.75399999995716,alive,none,belted,0,m,38,1998,1992.0,unavail,driver,0,82:140:2
10-24,1648.7869999855802,alive,none,belted,0,f,16,1997,1989.0,unavail,driver,0,11:51:1
10-24,610.220999993384,alive,none,belted,0,m,28,2000,1990.0,unavail,driver,0,11:197:1
10-24,3112.50099998713,alive,none,none,1,f,17,1999,1987.0,unavail,driver,0,75:127:2
10-24,64.6939999992028,alive,airbag,belted,1,f,38,2001,1999.0,nodeploy,driver,0,8:61:2
10-24,4.0259999999543705,alive,airbag,belted,1,m,29,1997,1992.0,deploy,driver,1,79:75:2
25-39,285.544999998063,alive,airbag,belted,1,m,25,2001,1998.0,deploy,driver,1,13:145:2
10-24,519.155999995768,alive,airbag,belted,1,f,77,1997,1994.0,deploy,driver,1,43:190:2
10-24,81.9959999993443,alive,none,none,0,m,64,1997,1984.0,unavail,pass,0,13:144:1
25-39,1720.12399999797,alive,none,belted,1,m,33,1998,1971.0,unavail,driver,0,5:56:1
10-24,241.90799999982102,alive,airbag,belted,1,m,48,1999,1990.0,deploy,driver,1,12:196:1
10-24,138.257999999449,alive,none,belted,0,m,29,2000,1988.0,unavail,pass,0,12:43:1
10-24,1066.79999999702,alive,airbag,belted,1,f,19,1999,1995.0,nodeploy,driver,0,43:164:2
1-9km/h,58.869999999646105,alive,none,belted,0,m,55,1999,1989.0,unavail,pass,0,75:95:3
25-39,25.6269999998622,alive,airbag,none,1,f,26,2000,1997.0,deploy,driver,1,41:140:1
10-24,1003.22399999946,alive,airbag,belted,1,m,16,2002,1999.0,deploy,driver,1,75:44:1
25-39,11.875,alive,none,none,1,m,35,1999,1995.0,unavail,driver,0,49:168:2
25-39,264.514999996871,alive,none,belted,1,f,30,1997,1992.0,unavail,driver,0,43:263:2
40-54,86.22099999990309,alive,airbag,belted,1,m,53,2000,1994.0,deploy,driver,1,13:174:1
25-39,127.23699999973199,alive,airbag,belted,1,f,47,1997,1995.0,deploy,driver,1,9:30:3
10-24,118.291999999434,alive,airbag,belted,1,m,17,2001,1999.0,deploy,driver,1,8:191:1
10-24,0.0,alive,airbag,belted,1,m,20,1998,1998.0,deploy,driver,1,48:803:2
25-39,25.6509999998379,alive,airbag,belted,1,f,45,1997,1995.0,deploy,pass,1,74:91:1
10-24,45.6529999999329,alive,none,belted,0,m,21,2001,1983.0,unavail,driver,0,11:186:2
55+,4.594999999972059,alive,none,belted,0,m,46,2000,1985.0,unavail,driver,0,79:62:2
55+,1.0,alive,airbag,none,1,m,68,2002,2000.0,deploy,pass,1,47:39:2
25-39,11.4779999998864,alive,none,none,0,f,19,1999,1984.0,unavail,pass,0,79:23:1
10-24,26.7289999998175,alive,airbag,belted,0,f,31,1999,1996.0,deploy,pass,1,3:65:2
55+,14.432999999960899,dead,airbag,none,0,m,27,1998,1993.0,deploy,driver,1,6:16:1
10-24,632.120999999344,alive,airbag,none,1,f,39,1998,1998.0,nodeploy,pass,0,8:133:1
25-39,24.2679999999236,alive,none,belted,0,f,17,2002,1990.0,unavail,driver,0,12:86:1
55+,11.737999999895699,alive,none,none,0,m,27,1999,1982.0,unavail,driver,0,49:110:2
10-24,106.87099999934401,alive,none,belted,1,f,16,1998,1991.0,unavail,pass,0,2:4:1
25-39,470.696999996901,alive,none,belted,0,f,36,2002,1991.0,unavail,driver,0,48:182:1
10-24,59.931999999564106,alive,none,none,1,m,19,1998,1984.0,unavail,driver,0,75:14:2
25-39,316.303999997675,alive,none,none,1,f,22,2002,1990.0,unavail,driver,0,78:152:1
10-24,491.11899999901703,alive,airbag,belted,0,m,31,2002,2000.0,nodeploy,driver,0,45:168:2
10-24,10.131999999983199,alive,airbag,none,0,m,63,1998,1995.0,nodeploy,driver,0,6:83:2
10-24,6.978999999992079,alive,airbag,belted,0,m,32,1997,1995.0,nodeploy,pass,0,49:80:2
25-39,9.278999999980439,alive,none,none,1,m,73,1997,1985.0,unavail,driver,0,82:93:1
10-24,666.029999993742,alive,airbag,belted,1,f,59,2002,1996.0,deploy,driver,1,73:159:1
40-54,48.7749999999069,alive,airbag,none,1,m,25,1999,1999.0,deploy,pass,1,81:28:1
10-24,1265.52599999309,alive,airbag,none,1,m,18,1999,1997.0,deploy,driver,1,8:6:1
40-54,302.74099999666197,alive,airbag,none,1,m,20,2002,1998.0,deploy,driver,1,48:99:1
25-39,49.7679999996908,alive,airbag,belted,1,m,19,1998,1998.0,deploy,driver,1,43:65:2
25-39,24.418999999994398,alive,none,none,1,m,64,1997,1990.0,unavail,driver,0,6:103:1
25-39,24.1659999999683,alive,airbag,none,0,f,36,1998,1996.0,nodeploy,pass,0,73:50:2
25-39,71.5159999998286,alive,none,none,1,m,29,1999,1978.0,unavail,driver,0,45:181:1
10-24,635.587999999523,alive,airbag,belted,1,f,35,2000,2000.0,deploy,driver,1,12:90:2
10-24,183.66599999926999,alive,none,none,1,f,25,2000,1990.0,unavail,driver,0,76:120:1
40-54,90.54099999926979,alive,none,belted,1,f,28,1998,1994.0,unavail,driver,0,9:23:2
10-24,122.425999999978,alive,none,belted,1,m,23,2002,1994.0,unavail,driver,0,9:226:1
40-54,54.2779999999329,dead,airbag,belted,1,m,71,2000,1998.0,deploy,pass,1,75:78:1
55+,30.059999999823,alive,none,none,0,m,24,2002,1990.0,unavail,driver,0,43:219:1
10-24,1314.79399999976,alive,none,belted,0,f,41,2001,1989.0,unavail,driver,0,4:26:1
10-24,320.29199999943404,alive,airbag,belted,1,m,70,2002,2001.0,deploy,pass,1,2:17:1
25-39,107.181999999098,alive,airbag,belted,1,m,22,1999,1998.0,deploy,driver,1,78:20:2
25-39,1096.07299999893,alive,airbag,belted,0,f,26,1998,1994.0,nodeploy,pass,0,43:21:2
25-39,28.8939999998547,alive,none,belted,0,m,18,1998,1978.0,unavail,driver,0,81:118:2
10-24,105.25299999955999,alive,airbag,belted,0,f,35,1998,1994.0,nodeploy,pass,0,13:68:1
25-39,394.552999999374,alive,none,belted,0,m,30,1999,1988.0,unavail,driver,0,43:204:1
10-24,232.960999999195,alive,airbag,none,1,m,20,2000,2000.0,nodeploy,driver,0,8:217:1
10-24,250.049999998882,alive,none,none,0,f,40,1998,1979.0,unavail,driver,0,45:3:1
55+,11.782999999937598,alive,none,none,1,m,21,2001,1984.0,unavail,driver,0,49:80:2
10-24,130.055999999866,alive,airbag,none,0,m,34,1999,1994.0,deploy,driver,1,5:124:1
25-39,36.933999999892,dead,none,none,0,f,73,2000,1980.0,unavail,pass,0,4:156:2
25-39,57.74199999962,alive,none,belted,1,m,39,1998,1989.0,unavail,driver,0,45:23:2
40-54,20.869999999878896,alive,none,none,1,m,30,1999,1994.0,unavail,driver,0,41:75:2
25-39,18.825999999884502,alive,airbag,belted,1,m,38,2002,2001.0,deploy,driver,1,41:42:1
40-54,41.118999999947796,alive,airbag,belted,0,f,59,1997,1993.0,nodeploy,pass,0,45:92:1
10-24,1619.6339999884399,alive,airbag,belted,0,m,27,2002,1998.0,nodeploy,driver,0,41:122:2
1-9km/h,258.444999996573,alive,airbag,belted,1,m,23,2000,2000.0,nodeploy,driver,0,82:104:1
10-24,322.426999997348,alive,airbag,belted,0,f,20,1999,1999.0,deploy,pass,1,48:158:2
25-39,761.167999997735,alive,airbag,none,1,f,25,1999,1994.0,deploy,driver,1,48:27:1
10-24,1914.72699999809,alive,airbag,belted,1,f,46,2000,1998.0,deploy,driver,1,73:160:1
25-39,314.901999998838,alive,none,belted,1,m,17,1999,1988.0,unavail,driver,0,12:143:1
40-54,11.7199999999721,dead,airbag,none,0,m,21,2002,1997.0,deploy,driver,1,49:127:1
25-39,4.97399999998743,alive,none,belted,0,f,46,1998,1988.0,unavail,driver,0,82:16:2
10-24,10.762999999919,alive,none,belted,0,f,46,1999,1984.0,unavail,pass,0,79:55:1
10-24,1220.1489999890302,alive,none,belted,1,f,16,2001,1987.0,unavail,pass,0,79:129:1
10-24,1725.81999999285,alive,none,belted,1,m,23,2000,1990.0,unavail,driver,0,45:158:1
40-54,83.0939999995753,alive,none,belted,1,m,48,1998,1991.0,unavail,driver,0,75:156:2
25-39,41.936999999918,alive,airbag,belted,0,f,41,1999,1994.0,nodeploy,driver,0,8:37:1
10-24,3618.2149999737703,alive,airbag,belted,1,m,21,2002,1994.0,deploy,driver,1,48:20:1
10-24,582.6379999965429,alive,none,none,1,f,29,2001,1988.0,unavail,driver,0,73:171:2
25-39,61.0389999998733,alive,airbag,belted,1,f,54,2002,1996.0,deploy,driver,1,41:51:1
10-24,51.136999999638604,alive,none,none,1,m,35,1997,1989.0,unavail,driver,0,43:182:1
25-39,265.637999996543,alive,airbag,belted,0,m,16,2000,1996.0,deploy,driver,1,8:64:1
10-24,18.344999999972103,alive,none,belted,1,m,27,2002,1987.0,unavail,driver,0,42:87:2
55+,42.3789999997243,dead,airbag,none,1,f,18,2002,1994.0,deploy,driver,1,45:148:1
10-24,65.0069999992847,alive,none,belted,1,m,18,2000,1988.0,unavail,driver,0,78:107:1
10-24,50.61699999962,alive,airbag,belted,1,m,65,1997,1994.0,deploy,driver,1,75:42:2
10-24,378.09499999880796,alive,airbag,belted,1,m,67,1997,1996.0,nodeploy,driver,0,11:106:3
10-24,40.0759999998845,alive,airbag,belted,1,m,39,2001,1990.0,deploy,driver,1,9:41:1
40-54,85.6489999992773,dead,none,belted,1,f,43,2002,1988.0,unavail,pass,0,13:140:1
25-39,54.30299999983979,alive,airbag,belted,0,f,20,2001,1997.0,deploy,driver,1,45:185:2
25-39,34.0529999998398,alive,airbag,belted,1,f,29,1997,1996.0,deploy,driver,1,12:1:2
25-39,137.751999998465,alive,airbag,belted,1,f,40,1999,1995.0,deploy,driver,1,13:186:1
25-39,116.498999999836,alive,airbag,belted,0,f,38,1997,1992.0,nodeploy,driver,0,82:21:3
40-54,100.396999999881,alive,none,belted,1,m,73,1999,1992.0,unavail,pass,0,73:37:1
25-39,421.484999999404,alive,airbag,belted,1,f,24,1997,1995.0,deploy,driver,1,75:196:1
10-24,3613.5649999976204,alive,none,none,0,f,30,2001,1984.0,unavail,pass,0,8:20:2
10-24,84.12399999983609,alive,airbag,none,0,f,54,2001,1992.0,nodeploy,driver,0,45:155:2
10-24,87.2299999995157,alive,none,belted,1,m,32,1997,1989.0,unavail,driver,0,75:86:1
10-24,1217.91499999166,alive,none,belted,0,m,69,1998,1984.0,unavail,driver,0,43:179:1
40-54,36.363999999593894,alive,airbag,none,1,f,37,1998,1997.0,deploy,driver,1,8:107:2
25-39,311.700999997556,alive,airbag,belted,0,m,23,1998,1994.0,deploy,driver,1,43:320:1
10-24,404.88599999993994,alive,none,none,0,m,33,1998,1985.0,unavail,driver,0,12:119:2
10-24,1122.9089999944001,alive,none,belted,0,f,22,2000,1991.0,unavail,pass,0,81:21:1
55+,208.919999999925,alive,airbag,belted,0,m,46,2002,1997.0,nodeploy,pass,0,48:77:2
25-39,31.6809999998659,alive,airbag,none,1,m,23,2002,1999.0,deploy,driver,1,47:139:1
40-54,89.9199999999255,dead,none,none,1,f,70,1997,1990.0,unavail,driver,0,13:128:2
10-24,1511.0519999861701,alive,none,belted,1,m,19,2002,1992.0,unavail,driver,0,73:199:1
25-39,106.12099999934401,alive,airbag,none,1,f,29,1999,1994.0,deploy,driver,1,2:94:2
10-24,332.982999999076,alive,airbag,belted,0,f,55,1999,1997.0,nodeploy,driver,0,82:124:1
40-54,30.059999999823,alive,none,belted,0,f,27,2002,1991.0,unavail,pass,0,43:65:5
40-54,54.30299999983979,alive,none,belted,1,m,32,2001,1991.0,unavail,driver,0,45:81:2
25-39,56.45899999979879,alive,airbag,belted,1,f,33,1997,1995.0,deploy,driver,1,9:43:2
10-24,337.54099999740697,alive,airbag,belted,1,f,39,1997,1996.0,nodeploy,driver,0,76:48:1
25-39,222.770999999717,alive,airbag,none,1,f,29,1998,1992.0,deploy,driver,1,76:9:2
10-24,162.275999998674,alive,airbag,belted,0,f,77,1999,1998.0,nodeploy,pass,0,74:83:3
25-39,31.5839999997988,alive,airbag,belted,1,m,32,2000,2000.0,deploy,driver,1,5:53:2
25-39,136.187999999151,alive,airbag,belted,0,f,53,2002,1996.0,nodeploy,driver,0,6:143:2
40-54,76.9789999993518,alive,airbag,none,1,m,24,2001,2001.0,deploy,driver,1,75:40:1
55+,55.78299999982121,dead,airbag,belted,1,m,35,2002,1997.0,deploy,driver,1,75:76:1
10-24,4.824999999953429,alive,none,belted,0,f,19,1997,1992.0,unavail,pass,0,79:30:1
25-39,63.9709999999031,alive,none,belted,0,f,62,1998,1987.0,unavail,pass,0,43:131:2
25-39,7.43599999998696,alive,none,none,1,f,23,2002,1986.0,unavail,driver,0,50:50:1
10-24,101.660999999382,alive,none,belted,1,f,47,2002,1989.0,unavail,driver,0,79:92:1
25-39,3.88399999999092,alive,airbag,none,1,m,35,1999,1999.0,deploy,driver,1,82:20:1
10-24,167.818999998271,alive,none,belted,1,m,69,1998,1988.0,unavail,pass,0,2:62:1
10-24,116.447999999858,alive,airbag,belted,0,f,19,1997,1994.0,deploy,pass,1,43:279:2
10-24,24.375,alive,none,belted,1,f,39,2001,1992.0,unavail,driver,0,9:12:1
25-39,69.2679999992251,dead,none,none,1,f,82,1997,1988.0,unavail,driver,0,78:15:1
10-24,172.11999999917998,alive,airbag,belted,1,m,37,1997,1995.0,deploy,pass,1,43:117:1
25-39,103.464999999851,alive,none,belted,0,f,35,2000,1992.0,unavail,pass,0,13:184:1
25-39,22.7089999997988,alive,airbag,belted,1,m,32,2001,1999.0,deploy,driver,1,81:95:1
40-54,18.1639999998733,dead,airbag,none,1,f,48,1999,2000.0,deploy,driver,1,41:166:1
25-39,90.5,alive,none,belted,1,f,46,2000,1992.0,unavail,driver,0,45:206:1
40-54,42.3789999997243,dead,none,none,0,f,67,2002,1989.0,unavail,driver,0,45:68:1
40-54,128.04199999943398,alive,airbag,none,1,m,39,2002,1998.0,deploy,driver,1,8:211:2
10-24,23.232999999774602,alive,airbag,belted,1,f,19,1999,1991.0,deploy,driver,1,12:62:1
25-39,538.32499999553,alive,airbag,belted,1,m,39,2000,1998.0,deploy,driver,1,43:74:1
10-24,402.376999996603,alive,none,none,1,f,18,1997,1991.0,unavail,pass,0,8:167:1
25-39,6.8629999999539,alive,none,none,1,m,33,1997,1984.0,unavail,driver,0,49:184:1
10-24,126.810999999754,alive,none,belted,1,f,73,1998,1984.0,unavail,driver,0,43:100:2
10-24,157.66099999845,alive,none,belted,1,m,57,2001,1993.0,unavail,driver,0,74:155:1
10-24,3.0279999999911498,alive,none,none,1,m,19,1997,1980.0,unavail,driver,0,79:164:2
10-24,876.0199999958279,alive,airbag,belted,1,f,18,2001,1995.0,nodeploy,driver,0,73:4:2
40-54,55.697999999858396,alive,none,none,1,m,21,1999,1986.0,unavail,driver,0,45:218:1
40-54,11.256999999983199,alive,none,belted,1,f,32,1997,1981.0,unavail,driver,0,3:63:1
40-54,6036.93099999428,alive,none,belted,0,m,34,1999,1985.0,unavail,driver,0,43:197:2
10-24,468.120999999344,alive,airbag,belted,1,f,67,1999,1993.0,deploy,driver,1,75:87:1
10-24,18.480999999912502,alive,none,none,1,m,37,2002,1994.0,unavail,pass,0,4:3:2
40-54,50.4199999999255,alive,none,belted,1,m,30,1998,1985.0,unavail,driver,0,75:167:1
55+,38.993999999947796,alive,airbag,belted,0,m,26,2002,1995.0,deploy,driver,1,11:228:1
10-24,33.2879999997094,alive,airbag,belted,1,m,47,1997,1992.0,deploy,driver,1,8:152:3
25-39,344.121999997646,alive,airbag,belted,1,m,21,2002,2002.0,deploy,driver,1,5:48:2
10-24,21.414999999804397,alive,airbag,belted,1,m,51,2002,1992.0,nodeploy,pass,0,12:106:2
10-24,167.699999999255,alive,airbag,belted,0,f,60,1997,1997.0,nodeploy,driver,0,4:30:1
25-39,51.136999999638604,alive,none,belted,0,f,57,1997,1989.0,unavail,pass,0,43:11:2
10-24,1165.06599999964,alive,airbag,belted,0,f,23,2000,1991.0,nodeploy,driver,0,43:29:1
10-24,31.332999999867802,alive,airbag,belted,0,f,41,1997,1997.0,nodeploy,driver,0,4:124:1
25-39,81.5169999999925,alive,none,belted,0,m,67,1998,1985.0,unavail,driver,0,13:107:2
10-24,306.714999999851,alive,airbag,belted,1,f,43,2000,1993.0,deploy,driver,1,48:66:1
40-54,394.85099999979104,alive,none,belted,1,m,28,1998,1985.0,unavail,driver,0,12:25:1
10-24,985.1689999997619,alive,none,none,0,m,19,2002,1984.0,unavail,pass,0,76:47:1
10-24,18.1489999999758,alive,airbag,belted,0,m,33,1998,1995.0,deploy,driver,1,79:158:2
10-24,299.27199999988096,alive,none,belted,1,m,41,1998,1983.0,unavail,driver,0,79:21:2
25-39,757.248999997973,alive,airbag,belted,1,f,19,1997,1993.0,deploy,driver,1,48:99:1
25-39,133.762999998406,alive,none,none,1,f,18,1997,1982.0,unavail,driver,0,13:50:1
10-24,123.394999999553,alive,airbag,none,1,f,75,2001,1999.0,deploy,driver,1,78:36:1
40-54,10.5789999999106,alive,airbag,belted,1,m,50,2000,1998.0,deploy,driver,1,49:250:1
10-24,36.405999999959,alive,airbag,belted,1,m,49,2002,2001.0,deploy,driver,1,74:7:1
40-54,46.3889999999665,alive,airbag,belted,1,m,41,2002,1999.0,deploy,driver,1,45:107:2
40-54,12.856999999960001,alive,airbag,none,0,m,18,1999,1997.0,deploy,pass,1,6:59:1
25-39,29.7569999999832,alive,none,none,1,m,56,2000,1989.0,unavail,driver,0,12:61:1
25-39,21.3159999998752,alive,airbag,belted,1,m,31,1998,1995.0,deploy,driver,1,73:24:1
25-39,277.860999997705,alive,airbag,belted,0,f,18,2002,1995.0,nodeploy,driver,0,41:50:1
25-39,7.53199999994831,dead,airbag,belted,0,f,63,1997,1995.0,deploy,pass,1,6:38:2
55+,361.64099999889703,dead,none,belted,0,f,49,1999,1993.0,unavail,driver,0,12:67:2
40-54,11.7199999999721,dead,none,belted,0,m,54,2002,1990.0,unavail,driver,0,49:43:2
10-24,542.619999997318,alive,none,belted,1,m,29,2002,1989.0,unavail,driver,0,72:22:1
25-39,11.9419999999227,alive,airbag,belted,1,f,50,2002,1999.0,deploy,driver,1,79:73:2
10-24,175.216999998316,alive,airbag,belted,1,f,60,2002,2000.0,deploy,driver,1,43:102:1
10-24,510.427999999374,alive,airbag,belted,1,m,40,2001,1997.0,nodeploy,driver,0,3:12:1
25-39,19.2959999998566,alive,airbag,none,1,m,28,2002,1994.0,deploy,driver,1,41:58:1
25-39,47.502999999560394,alive,none,belted,0,m,25,1998,1982.0,unavail,driver,0,43:231:2
40-54,15.047999999951598,alive,airbag,none,1,f,29,2000,2000.0,deploy,driver,1,73:53:1
10-24,224.634999999776,alive,airbag,belted,1,m,20,2001,1994.0,nodeploy,pass,0,9:36:1
10-24,670.332999996841,alive,airbag,none,1,m,18,2001,1999.0,deploy,driver,1,49:250:1
55+,430.962999999523,alive,none,belted,1,f,17,1997,1991.0,unavail,driver,0,13:111:2
55+,10.7609999999404,alive,airbag,belted,1,m,31,2001,1999.0,deploy,driver,1,49:256:1
10-24,2436.1009999811604,alive,airbag,belted,1,m,18,2001,1996.0,nodeploy,driver,0,43:23:1
10-24,962.065999999642,alive,airbag,belted,0,f,28,2000,1999.0,nodeploy,driver,0,9:117:1
25-39,3.0279999999911498,alive,none,belted,1,f,44,1997,1980.0,unavail,driver,0,79:142:1
25-39,385.06199999898695,alive,airbag,belted,0,m,32,2000,1990.0,deploy,driver,1,5:48:2
